Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet,Fixed WiMax Internet
2.0,3.0,840 m²,117 m²,1.0,08 September 2020,109088929,,2600000.0,"8 Cranko Avenue, Kirstenhof, Cape Town",House,,1.0,,2.0,,,,,,,,
1.0,3.0,,87 m²,1.0,18 September 2020,109134744,1.0,2095000.0,"22 Hayworth Way, Kirstenhof, Cape Town",Townhouse,,,,1.0,,,,,,,,
1.0,2.0,88 m²,88 m²,,18 September 2020,109137290,1.0,3650000.0,"22 Woodside Rd Tamboerskloof, Tamboerskloof, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,,
1.0,3.0,104 m²,104 m²,1.0,18 September 2020,109136341,,2995000.0,"27 Breda Street, Oranjezicht, Cape Town",Apartment / Flat,1.0,1.0,,,,,,1.0,,,,
1.0,2.0,,89 m²,,17 September 2020,109133832,,4895000.0,"23 Main Road, Green Point, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,1.0,,,,,,
2.0,3.0,,166 m²,1.0,03 September 2020,109062134,,8950000.0,"14 Friars Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
1.0,1.0,,59 m²,,21 September 2020,109142248,,8500000.0,"64 Victoria Road, Clifton, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
2.5,2.0,,81 m²,,07 September 2020,109075473,,4150000.0,"93 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
1.0,0.5,,52 m²,,14 September 2020,109115838,,1850000.0,"367 Main Road, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,,
1.0,2.0,45 m²,45 m²,,16 September 2020,109124710,1.0,850000.0,"14 Sunrise Boulevard, Muizenberg, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,
5.5,5.0,1 437 m²,623 m²,3.0,03 September 2020,109063122,,19900000.0,"2b Warblers Grove, Warbers Way, Constantia, Cape Town",House,1.0,1.0,4.0,,,,,,,,,
4.5,4.0,1 375 m²,640 m²,2.0,11 February 2020,108431178,,32000000.0,"Silverhurst Estate, Cape Town",House,,,,,,,,,,,,
3.0,4.0,729 m²,236 m²,2.0,19 September 2020,109139501,,5175000.0,"19 Moolenberg, Rondebosch, Cape Town",House,,1.0,5.0,,,,,,,,,
1.0,1.0,,53 m²,,16 September 2020,109125447,,1400000.0,"124 Harrington Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,3.0,121 m²,112 m²,,19 September 2020,109139373,,2925000.0,"Haven House, 2 Mains Avenue, Kenilworth Upper, Cape Town, Kenilworth Upper, Cape Town",Apartment / Flat,,,,2.0,1.0,,,1.0,,,,
1.0,2.0,,70 m²,,16 September 2020,109125533,1.0,2350000.0,"13 St Quintons, Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,75 m²,1.0,15 September 2020,109117850,,2350000.0,"13 Grove Avenue, Claremont Upper, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
2.0,3.0,495 m²,165 m²,1.0,15 September 2020,109121547,1.0,5200000.0,"48 Almond Street, Newlands, Cape Town",House,1.0,,,1.0,,,,,,,,
2.0,2.0,,89 m²,,04 September 2020,109068555,,2695000.0,"32 Glynn Street, Gardens, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,,
2.0,3.0,404 m²,145 m²,,22 September 2020,109150136,,5450000.0,"39 Wilderness Road, Claremont, Cape Town",Apartment / Flat,1.0,1.0,2.0,,,,,,,,,
1.0,3.0,,85 m²,,18 September 2020,109136262,,2800000.0,"201 Main Road, Three Anchor Bay, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
2.5,3.0,,270 m²,2.0,17 September 2020,109133185,,6995000.0,"12 Clifford Road, Sea Point, Cape Town",Townhouse,,,,,,,,1.0,,,,
1.0,1.0,54 m²,54 m²,,17 September 2020,109128426,1.0,2100000.0,"777 Vriende St, Oranjezicht, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,,
1.0,1.0,50 m²,50 m²,,16 September 2020,109122779,1.0,2195000.0,"275 Beach Rd, Sea Point, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,
2.0,3.0,,138 m²,1.0,04 September 2020,109065734,1.0,3400000.0,"18 Sir George Grey Street, Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,
2.5,3.0,,174 m²,1.0,07 September 2020,109072430,,7950000.0,"265 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
3.0,2.0,,81 m²,,15 September 2020,109120840,,3175000.0,"35 Grove Avenue, Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,1.0,,66 m²,,06 September 2020,109071455,,2100000.0,"210 Upper Buitenkant Street, Oranjezicht, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,1.0,,63 m²,1.0,16 September 2020,109127240,,1795000.0,"31 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
2.0,3.0,160 m²,141 m²,2.0,14 September 2020,109115464,,4500000.0,"5 Roodehek Street, Gardens, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,1.0,,80 m²,,03 September 2020,109064290,1.0,1980000.0,"De Oude Schuur 120 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,
5.0,5.0,991 m²,565 m²,3.0,16 September 2020,109125561,1.0,17995000.0,"18 Apostle Road, Llandudno, Cape Town",House,1.0,,,2.0,,,,,,,,
2.0,3.0,312 m²,114 m²,,15 September 2020,109121205,,2500000.0,"42 Chichester Road, Claremont, Cape Town",House,1.0,,,3.0,,,,,,,,
1.0,2.0,,120 m²,,08 September 2020,109088481,,3799000.0,"7 Marseilles Avenue, Fresnaye, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
1.0,0.5,,52 m²,1.0,13 September 2020,109111376,,1950000.0,"367 Main Road, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,,
1.0,0.5,,45 m²,,16 September 2020,109127826,,1595000.0,"71 High Cape Two, 11 High Cape Avenue, High Cape Estate, Vredehoek, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
1.0,2.0,85 m²,85 m²,1.0,14 September 2020,109116323,1.0,2495000.0,"27 St James Street, Vredehoek, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
2.0,2.0,,82 m²,2.0,19 September 2020,109138723,,1950000.0,"31 Brickflield, Woodstock, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
3.0,3.0,781 m²,357 m²,2.0,22 September 2020,109150581,1.0,13650000.0,"4 Sillery Avenue, Constantia, Cape Town",House,1.0,,,,,,,,,,,
2.0,4.0,396 m²,,1.0,21 September 2020,109144460,,4400000.0,"12 Queen Victoria Road, Claremont, Cape Town",House,1.0,,,2.0,,,,,,,,
2.5,3.0,319 m²,160 m²,2.0,16 September 2020,109124685,1.0,3995000.0,"18 Albion Road, Rondebosch, Cape Town",House,,,,3.0,,,,,,,,
1.0,2.0,,63 m²,1.0,14 September 2020,109114902,1.0,1600000.0,"1 Constitution, Zonnebloem, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
6.0,10.0,1 228 m²,982 m²,2.0,22 September 2020,109146024,1.0,9980000.0,"5 Boulder Road, Lakeside, Cape Town",House,,,6.0,,,,,,,,,
2.0,2.0,,122 m²,1.0,14 September 2020,109115601,1.0,2450000.0,"7 Pine Road, Claremont Upper, Cape Town",Apartment / Flat,1.0,,,2.0,,,,,,,,
1.0,1.0,,67 m²,,21 September 2020,109142287,,2800000.0,"24 Hans Strijdom, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,
